Manufacturer,Type,Cost,Power
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.11625,0.28
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.28
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.28
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.11935,0.35
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1209,0.63
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.63
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.63
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1209,0.57
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1209,3.1
Diodes_Incorporated,Metal_Oxide,0.12375,0.66
Diodes_Incorporated,Metal_Oxide,0.5,0.66
Diodes_Incorporated,Metal_Oxide,?,0.66
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.12555,3.1
Diodes_Incorporated,Metal_Oxide,0.12615,0.39
Diodes_Incorporated,Metal_Oxide,0.58,0.39
Diodes_Incorporated,Metal_Oxide,?,0.39
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1271,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.12865,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.12865,2.5
Rohm_Semiconductor,Metal_Oxide,0.1287,1.25
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1302,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1305,4.1
Rohm_Semiconductor,Metal_Oxide,0.1305,0.8
Panasonic_Electronic_Components,Metal_Oxide,0.13101,0.3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.13175,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.13775,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Panasonic_Electronic_Components,Metal_Oxide,0.13905,0.15
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1395,45
Central_Semiconductor_Corp,Metal_Oxide,0.14025,0.15
Central_Semiconductor_Corp,Metal_Oxide,0.51,0.15
Central_Semiconductor_Corp,Metal_Oxide,?,0.15
Panasonic_Electronic_Components,Metal_Oxide,0.14094,0.15
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1419,0.35
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.35
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.35
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1421,2.1
Panasonic_Electronic_Components,Metal_Oxide,0.14297,0.54
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.14415,4.2
Panasonic_Electronic_Components,Metal_Oxide,0.14499,0.54
Global_Power_Technologies_Group,Metal_Oxide,0.145,52
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1452,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.14725,1.9
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,1.9
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,1.9
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1519,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.15345,2.8
International_Rectifier,Metal_Oxide,0.1535,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.155,6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,6
Rohm_Semiconductor,Metal_Oxide,0.155,1
International_Rectifier,Metal_Oxide,0.15912,2.1
Rohm_Semiconductor,Metal_Oxide,0.1595,0.4
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.1612,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.16275,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.16275,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1643,5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1643,5
Diodes_Incorporated,?,0.52,?
Panasonic_Electronic_Components,Metal_Oxide,0.16663,0.54
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.16675,0.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.16675,0.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.16675,0.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1674,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1705,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1705,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.17205,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.17205,0.5
Rohm_Semiconductor,Metal_Oxide,0.17205,1.25
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.17205,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.54,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.17515,1.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,1.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,1.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.17515,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.17515,5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1767,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.17825,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.17825,0.45
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.45
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.45
NXP_Semiconductors,Metal_Oxide,0.18125,0.4
NXP_Semiconductors,Metal_Oxide,0.61,0.4
NXP_Semiconductors,Metal_Oxide,?,0.4
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.18445,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.186,56.8
Panasonic_Electronic_Components,Metal_Oxide,0.186,1
Diodes_Incorporated,Metal_Oxide,0.186,0.77
Diodes_Incorporated,Metal_Oxide,0.59,0.77
Diodes_Incorporated,Metal_Oxide,?,0.77
Diodes_Incorporated,Metal_Oxide,0.186,0.76
Diodes_Incorporated,Metal_Oxide,0.59,0.76
Diodes_Incorporated,Metal_Oxide,?,0.76
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.186,57
Diodes_Incorporated,Metal_Oxide,0.186,1.67
Diodes_Incorporated,Metal_Oxide,0.59,1.67
Diodes_Incorporated,Metal_Oxide,?,1.67
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.18755,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.18755,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1891,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1891,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1891,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1891,1.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1891,6.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1891,5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.18995,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Rohm_Semiconductor,Metal_Oxide,0.19065,1.25
Rohm_Semiconductor,Metal_Oxide,0.6,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1922,45
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1922,45
Rohm_Semiconductor,Metal_Oxide,0.19285,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.19375,2.5
International_Rectifier,Metal_Oxide,0.19431,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1953,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.19575,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Rohm_Semiconductor,Metal_Oxide,0.19685,1
Rohm_Semiconductor,Metal_Oxide,0.1984,1.25
Rohm_Semiconductor,Metal_Oxide,0.63,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1984,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1984,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.1984,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.19995,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.19995,6
Rohm_Semiconductor,Metal_Oxide,0.2001,0.8
Rohm_Semiconductor,Metal_Oxide,0.2015,1
Rohm_Semiconductor,Metal_Oxide,?,1
Rohm_Semiconductor,Metal_Oxide,?,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2015,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2015,5.7
Global_Power_Technologies_Group,Metal_Oxide,0.2025,30
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.20305,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.20305,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Vishay_Siliconix,Metal_Oxide,0.20305,3.5
Vishay_Siliconix,Metal_Oxide,0.64,3.5
Vishay_Siliconix,Metal_Oxide,?,3.5
Rohm_Semiconductor,Metal_Oxide,0.2077,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.20925,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.20925,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.20925,1.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,1.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,1.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2106,3.1
Rohm_Semiconductor,Metal_Oxide,0.2108,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2108,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.67,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2146,3.1
Global_Power_Technologies_Group,Metal_Oxide,0.216,30
Global_Power_Technologies_Group,Metal_Oxide,0.216,52.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.216,4.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.21605,3.1
Rohm_Semiconductor,Metal_Oxide,0.217,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.217,2.5
Global_Power_Technologies_Group,Metal_Oxide,0.217,17.3
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2175,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2175,104
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2175,1.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2175,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2175,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.1
Vishay_Siliconix,Metal_Oxide,0.2175,44.6
Vishay_Siliconix,Metal_Oxide,0.62,44.6
Vishay_Siliconix,Metal_Oxide,?,44.6
Diodes_Incorporated,Metal_Oxide,0.2175,1.6
Diodes_Incorporated,Metal_Oxide,0.62,1.6
Diodes_Incorporated,Metal_Oxide,?,1.6
Rohm_Semiconductor,Metal_Oxide,0.21855,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2201,2.3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2201,56.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2201,1.8
International_Rectifier,Metal_Oxide,0.22032,2.1
NXP_Semiconductors,Metal_Oxide,0.221,51
NXP_Semiconductors,Metal_Oxide,0.64,51
NXP_Semiconductors,Metal_Oxide,?,51
Rohm_Semiconductor,Metal_Oxide,0.22165,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Rohm_Semiconductor,Metal_Oxide,0.22165,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.22165,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2232,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
International_Rectifier,Metal_Oxide,0.22338,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.22475,5.7
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.22475,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.22475,57
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2263,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2263,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2263,2.5
Rohm_Semiconductor,Metal_Oxide,0.22765,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
NXP_Semiconductors,Metal_Oxide,0.22765,1.7
NXP_Semiconductors,Metal_Oxide,0.65,1.7
NXP_Semiconductors,Metal_Oxide,?,1.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.22785,?
Vishay_Siliconix,Metal_Oxide,0.2291,3.9
Vishay_Siliconix,Metal_Oxide,0.65,3.9
Vishay_Siliconix,Metal_Oxide,?,3.9
Rohm_Semiconductor,Metal_Oxide,0.2294,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
Rohm_Semiconductor,Metal_Oxide,?,0.7
NXP_Semiconductors,Metal_Oxide,0.2295,51
NXP_Semiconductors,Metal_Oxide,0.66,51
NXP_Semiconductors,Metal_Oxide,?,51
Rohm_Semiconductor,Metal_Oxide,0.23055,1
Rohm_Semiconductor,Metal_Oxide,?,1
Rohm_Semiconductor,Metal_Oxide,?,1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23055,0.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,0.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,50
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,50
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,50
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,0.55
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,0.55
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,0.55
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,0.55
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,0.55
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,0.55
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23095,5.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.232,?
Rohm_Semiconductor,Metal_Oxide,0.232,1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.232,3.1
Rohm_Semiconductor,Metal_Oxide,0.23345,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.23345,?
International_Rectifier,Metal_Oxide,0.23352,1
Rohm_Semiconductor,Metal_Oxide,0.2349,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Rohm_Semiconductor,Metal_Oxide,?,0.9
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2349,?
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2349,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2349,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2349,5.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2349,6.2
Rohm_Semiconductor,Metal_Oxide,0.23635,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Rohm_Semiconductor,Metal_Oxide,?,1.25
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.23635,?
International_Rectifier,Metal_Oxide,0.23715,2.5
International_Rectifier,Metal_Oxide,?,2.5
International_Rectifier,Metal_Oxide,?,2.5
International_Rectifier,Metal_Oxide,0.23868,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23925,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23925,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23925,5.6
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23925,83
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.23925,83
International_Rectifier,Metal_Oxide,0.24005,1
International_Rectifier,Metal_Oxide,0.24174,2.8
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.24215,?
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.243,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2436,6.2
International_Rectifier,Metal_Oxide,0.2448,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2465,2.3
Rohm_Semiconductor,Metal_Oxide,0.2465,1
Global_Power_Technologies_Group,Metal_Oxide,0.2465,52
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.24795,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.25085,15
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.25085,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.25085,2.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.25375,4.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,4.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,4.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2552,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2552,6.2
International_Rectifier,Metal_Oxide,0.25551,2.5
Global_Power_Technologies_Group,Metal_Oxide,0.2565,50
International_Rectifier,Metal_Oxide,0.25704,2.5
International_Rectifier,Metal_Oxide,?,2.5
International_Rectifier,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2581,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.25955,104
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,104
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,104
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.261,?
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.261,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.261,2.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.261,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.261,3.1
Global_Power_Technologies_Group,Metal_Oxide,0.261,17.3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.261,4.2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.26245,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.26245,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2639,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2639,2.5
International_Rectifier,Metal_Oxide,0.26454,1.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.26535,2.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2668,?
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2672,31
International_Rectifier,Metal_Oxide,0.26775,2.5
International_Rectifier,Metal_Oxide,?,2.5
International_Rectifier,Metal_Oxide,?,2.5
International_Rectifier,Metal_Oxide,0.26775,2.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.26825,?
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.26825,15
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.26825,31
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2697,6.2
Global_Power_Technologies_Group,Metal_Oxide,0.27,52
Global_Power_Technologies_Group,Metal_Oxide,0.27,94
IXYS_Integrated_Circuits_Division,Metal_Oxide,0.272,1.4
Rohm_Semiconductor,Metal_Oxide,0.272,0.5
Rohm_Semiconductor,Metal_Oxide,?,0.5
Rohm_Semiconductor,Metal_Oxide,?,0.5
International_Rectifier,Metal_Oxide,0.27234,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2726,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3.1
International_Rectifier,Metal_Oxide,0.2754,2.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2755,33
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2755,150
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,150
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,150
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2755,104
Rohm_Semiconductor,Metal_Oxide,0.2755,0.55
Rohm_Semiconductor,Metal_Oxide,0.2755,0.54
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2755,35
Diodes_Incorporated,Metal_Oxide,0.2755,37
Diodes_Incorporated,Metal_Oxide,0.78,37
Diodes_Incorporated,Metal_Oxide,?,37
International_Rectifier,Metal_Oxide,0.27598,1
International_Rectifier,Metal_Oxide,0.27693,1
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2784,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.2784,2.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.27985,?
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.27985,35
Microchip_Technology,Metal_Oxide,0.28,0.36
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2842,33
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2842,?
International_Rectifier,Metal_Oxide,0.28917,2.5
Rohm_Semiconductor,Metal_Oxide,0.2896,0.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.29,35
Diodes_Incorporated,Metal_Oxide,0.29,0.8
Diodes_Incorporated,Metal_Oxide,0.82,0.8
Diodes_Incorporated,Metal_Oxide,?,0.8
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.29435,78
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.29435,2.3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,2.3
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.29435,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.29435,2.5
Panasonic_Electronic_Components,Metal_Oxide,0.29464,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2958,?
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.29725,27
International_Rectifier,Metal_Oxide,0.29835,2.5
International_Rectifier,Metal_Oxide,0.29835,1
